"postnummer","week","barn: 0","barn: 1","barn: 2","barn: 3","Inkomstkälla: Förvärvsarbete","Inkomstkälla: Studerande","Inkomstkälla: Vård av barn/anhörig","Inkomstkälla: Sjuk","Inkomstkälla: Arbetslös","Inkomstkälla: Förtidspension","Inkomstkälla: Ekonomiskt bistånd","Inkomstkälla: Arbetsmarknadspol åtgärd","Inkomstkälla: Ålderspensionär","Inkomstkälla: Saknar inkomst","Medelålder","Befolkning 0-17 år","Befolkning 18+ år","Befolkning Totalt","Befolkning 0-17 år %","Befolkning 18+ år %","Inkomst Kvartil 1","Inkomst Kvartil 2","Inkomst Kvartil 3","Inkomst Kvartil 4","Inkomst: Median","Genomsnittlig boarea per person"
"74297","26","0.8905660377","0.04905660377","0.06037735849","0","0.8072289157","0.01204819277","0.01204819277","0.01204819277","0","0.07630522088","0","0.01204819277","0.03212851406","0.03614457831","56","48","474","522","0.09195402299","0.908045977","0.3362255965","0.2906724512","0.2017353579","0.1713665944","193245","51"
"74330","26","0.565","0.1325","0.2125","0.09","0.8214285714","0.02142857143","0.025","0.02857142857","0","0.04821428571","0.02678571429","0.005357142857","0.007142857143","0.01607142857","36.7","341","774","1115","0.3058295964","0.6941704036","0.2019230769","0.2486263736","0.2747252747","0.2747252747","255667","36.2"
"74332","26","0.5528846154","0.1346153846","0.2019230769","0.1105769231","0.8867924528","0.03396226415","0.01886792453","0.02264150943","0","0","0","0","0.02641509434","0.01132075472","38.1","187","403","590","0.3169491525","0.6830508475","0.1593830334","0.2262210797","0.2724935733","0.3419023136","279947","42.6"
"74334","26","0.5519125683","0.09836065574","0.2349726776","0.1147540984","0.8814531549","0.02868068834","0.017208413","0.009560229446","0","0.03059273423","0.005736137667","0.005736137667","0.005736137667","0.01529636711","37.6","341","750","1091","0.3125572869","0.6874427131","0.1768901569","0.1897289586","0.2738944365","0.3594864479","288679","40.8"
"74335","26","0.5066666667","0.1266666667","0.2433333333","0.1233333333","0.8067318132","0.02062975027","0.02931596091","0.02823018458","0.009771986971","0.02605863192","0.0434310532","0.007600434311","0.01302931596","0.01520086862","34.1","620","1175","1795","0.3454038997","0.6545961003","0.181736795","0.2551477171","0.3124440466","0.2506714414","260017","36.1"
"74340","26","0.6296296296","0.08024691358","0.195473251","0.09465020576","0.88","0.02222222222","0.008888888889","0.0162962963","0","0.02074074074","0.01037037037","0.004444444444","0.02222222222","0.01481481481","41.6","380","992","1372","0.27696793","0.72303207","0.1525600836","0.1954022989","0.2413793103","0.4106583072","303436","43.9"
"74341","26","0.2475247525","0.1089108911","0.4752475248","0.1683168317","0.8894230769","0.01442307692","0.01923076923","0","0","0.03365384615","0","0","0.01442307692","0.02884615385","28.9","160","218","378","0.4232804233","0.5767195767","0.08173076923","0.1009615385","0.2259615385","0.5913461538","369553","39.7"
"74345","26","0.556547619","0.1726190476","0.1875","0.08333333333","0.8360215054","0.02688172043","0.07258064516","0.008064516129","0","0.02150537634","0.008064516129","0","0.008064516129","0.0188172043","25.8","279","545","824","0.338592233","0.661407767","0.1289473684","0.1763157895","0.3157894737","0.3789473684","299172","30.9"
"74350","26","0.6447368421","0.09398496241","0.1860902256","0.07518796992","0.8959778086","0.009708737864","0.01386962552","0.01386962552","0.004160887656","0.02912621359","0.004160887656","0","0.01386962552","0.01525658807","40.6","375","1048","1423","0.2635277583","0.7364722417","0.1542288557","0.2218905473","0.3034825871","0.32039801","275095","45"
"74361","26","0.6898954704","0.1254355401","0.1533101045","0.03135888502","0.8630806846","0.01711491443","0.0195599022","0.0097799511","0","0.0293398533","0.0195599022","0.01222493888","0.01466992665","0.01466992665","41.7","153","529","682","0.224340176","0.775659824","0.1812865497","0.2358674464","0.2456140351","0.3372319688","270193","43.1"
